No.,productname,unit,quantity,price,total,orderdate,customername,customercontactname,customeraddress,customercity,customerpostalcode,customercountry,shippername,shipperphone,suppliername,suppliercontactname,supplieraddress,suppliercity,supplierpostalcode,suppliercountry,supplierphone,categoryname,categorydescription
236,Mozzarella di Giovanni,24 - 200 g pkgs.,5,34.8,174,7/4/1996,Wilman Kala,Matti Karttunen,Keskuskatu 45,Helsinki,21240,Finland,Federal Shipping,(503) 555-9931,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
237,Tofu,40 - 100 g pkgs.,9,23.25,209.25,7/5/1996,Tradição Hipermercados,Anabela Domingues,"Av. Inês de Castro, 414",São Paulo,05634-030,Brazil,Speedy Express,(503) 555-9831,Mayumi's,Mayumi Ohno,92 Setsuko Chuo-ku,Osaka,545,Japan,(06) 431-7877,Produce,Dried fruit and bean curd
238,Manjimup Dried Apples,50 - 300 g pkgs.,40,53,2120,7/5/1996,Tradição Hipermercados,Anabela Domingues,"Av. Inês de Castro, 414",São Paulo,05634-030,Brazil,Speedy Express,(503) 555-9831,"G'day, Mate",Wendy Mackenzie,170 Prince Edward Parade Hunter's Hill,Sydney,2042,Australia,(02) 555-5914,Produce,Dried fruit and bean curd
239,Jack's New England Clam Chowder,12 - 12 oz cans,10,9.65,96.5,7/8/1996,Hanari Carnes,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,United Package,(503) 555-3199,New England Seafood Cannery,Robb Merchant,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,2134,USA,(617) 555-3267,Seafood,Seaweed and fish
240,Manjimup Dried Apples,50 - 300 g pkgs.,35,53,1855,7/8/1996,Hanari Carnes,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,United Package,(503) 555-3199,"G'day, Mate",Wendy Mackenzie,170 Prince Edward Parade Hunter's Hill,Sydney,2042,Australia,(02) 555-5914,Produce,Dried fruit and bean curd
241,Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,15,21.05,315.75,7/8/1996,Hanari Carnes,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,United Package,(503) 555-3199,New Orleans Cajun Delights,Shelley Burke,P.O. Box 78934,New Orleans,70117,USA,(100) 555-4822,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
242,Gustaf's Knackebrod,24 - 500 g pkgs.,6,21,126,7/8/1996,Victuailles en stock,Mary Saveley,"2, rue du Commerce",Lyon,69004,France,Speedy Express,(503) 555-9831,PB Knäckebröd AB,Lars Peterson,Kaloadagatan 13,Göteborg,S-345 67,Sweden,031-987 65 43,Grains/Cereals,"Breads, crackers, pasta, and cereal"
243,Ravioli Angelo,24 - 250 g pkgs.,15,19.5,292.5,7/8/1996,Victuailles en stock,Mary Saveley,"2, rue du Commerce",Lyon,69004,France,Speedy Express,(503) 555-9831,Pasta Buttini s.r.l.,Giovanni Giudici,"Via dei Gelsomini, 153",Salerno,84100,Italy,(089) 6547665,Grains/Cereals,"Breads, crackers, pasta, and cereal"
244,Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,20,21.05,421,7/8/1996,Victuailles en stock,Mary Saveley,"2, rue du Commerce",Lyon,69004,France,Speedy Express,(503) 555-9831,New Orleans Cajun Delights,Shelley Burke,P.O. Box 78934,New Orleans,70117,USA,(100) 555-4822,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
245,Sir Rodney's Marmalade,30 gift boxes,40,81,3240,7/9/1996,Suprêmes délices,Pascale Cartrain,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,United Package,(503) 555-3199,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
246,Geitost,500 g,25,2.5,62.5,7/9/1996,Suprêmes délices,Pascale Cartrain,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,United Package,(503) 555-3199,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
247,Camembert Pierrot,15 - 300 g rounds,40,34,1360,7/9/1996,Suprêmes délices,Pascale Cartrain,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,United Package,(503) 555-3199,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dairy Products,Cheeses
248,Gorgonzola Telino,12 - 100 g pkgs,20,12.5,250,7/10/1996,Hanari Carnes,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,United Package,(503) 555-3199,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
249,Chartreuse verte,750 cc per bottle,42,18,756,7/10/1996,Hanari Carnes,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,United Package,(503) 555-3199,Aux joyeux ecclésiastiques,Guylène Nodier,"203, Rue des Francs-Bourgeois",Paris,75004,France,(1) 03.83.00.68,Beverages,"Soft drinks, coffees, teas, beers, and ales"
250,Maxilaku,24 - 50 g pkgs.,40,20,800,7/10/1996,Hanari Carnes,Mario Pontes,"Rua do Paço, 67",Rio de Janeiro,05454-876,Brazil,United Package,(503) 555-3199,Karkki Oy,Anne Heikkonen,Valtakatu 12,Lappeenranta,53120,Finland,(953) 10956,Confections,"Desserts, candies, and sweet breads"
251,Guarana Fantastica,12 - 355 ml cans,15,4.5,67.5,7/11/1996,Chop-suey Chinese,Yang Wang,Hauptstr. 29,Bern,3012,Switzerland,United Package,(503) 555-3199,Refrescos Americanas LTDA,Carlos Diaz,Av. das Americanas 12.890,São Paulo,5442,Brazil,(11) 555 4640,Beverages,"Soft drinks, coffees, teas, beers, and ales"
252,Pâté chinois,24 boxes x 2 pies,21,24,504,7/11/1996,Chop-suey Chinese,Yang Wang,Hauptstr. 29,Bern,3012,Switzerland,United Package,(503) 555-3199,Ma Maison,Jean-Guy Lauzon,2960 Rue St. Laurent,Montréal,H1J 1C3,Canada,(514) 555-9022,Meat/Poultry,Prepared meats
253,Longlife Tofu,5 kg pkg.,21,10,210,7/11/1996,Chop-suey Chinese,Yang Wang,Hauptstr. 29,Bern,3012,Switzerland,United Package,(503) 555-3199,Tokyo Traders,Yoshi Nagase,9-8 Sekimai Musashino-shi,Tokyo,100,Japan,(03) 3555-5011,Produce,Dried fruit and bean curd
254,Chang,24 - 12 oz bottles,20,19,380,7/12/1996,Richter Supermarkt,Michael Holz,Grenzacherweg 237,Genève,1203,Switzerland,Federal Shipping,(503) 555-9931,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222,Beverages,"Soft drinks, coffees, teas, beers, and ales"
255,Pavlova,32 - 500 g boxes,35,17.45,610.75,7/12/1996,Richter Supermarkt,Michael Holz,Grenzacherweg 237,Genève,1203,Switzerland,Federal Shipping,(503) 555-9931,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Confections,"Desserts, candies, and sweet breads"
256,Inlagd Sill,24 - 250 g jars,25,19,475,7/12/1996,Richter Supermarkt,Michael Holz,Grenzacherweg 237,Genève,1203,Switzerland,Federal Shipping,(503) 555-9931,Svensk Sjöföda AB,Michael Björn,Brovallavägen 231,Stockholm,S-123 45,Sweden,08-123 45 67,Seafood,Seaweed and fish
257,Sasquatch Ale,24 - 12 oz bottles,10,14,140,11/20/1996,La maison d'Asie,Annette Roulet,1 rue Alsace-Lorraine,Toulouse,31000,France,Speedy Express,(503) 555-9831,Bigfoot Breweries,Cheryl Saylor,3400 - 8th Avenue Suite 210,Bend,97101,USA,(503) 555-9931,Beverages,"Soft drinks, coffees, teas, beers, and ales"
258,Inlagd Sill,24 - 250 g jars,20,19,380,11/20/1996,La maison d'Asie,Annette Roulet,1 rue Alsace-Lorraine,Toulouse,31000,France,Speedy Express,(503) 555-9831,Svensk Sjöföda AB,Michael Björn,Brovallavägen 231,Stockholm,S-123 45,Sweden,08-123 45 67,Seafood,Seaweed and fish
259,Pavlova,32 - 500 g boxes,56,17.45,977.2,11/21/1996,Seven Seas Imports,Hari Kumar,90 Wadhurst Rd.,London,OX15 4NB,UK,Federal Shipping,(503) 555-9931,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Confections,"Desserts, candies, and sweet breads"
260,Scottish Longbreads,10 boxes x 8 pieces,10,12.5,125,10/21/1996,Victuailles en stock,Mary Saveley,"2, rue du Commerce",Lyon,69004,France,United Package,(503) 555-3199,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
261,Chang,24 - 12 oz bottles,7,19,133,10/22/1996,Hungry Owl All-Night Grocers,Patricia McKenna,8 Johnstown Road,Cork,,Ireland,United Package,(503) 555-3199,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222,Beverages,"Soft drinks, coffees, teas, beers, and ales"
262,Gorgonzola Telino,12 - 100 g pkgs,25,12.5,312.5,10/22/1996,Hungry Owl All-Night Grocers,Patricia McKenna,8 Johnstown Road,Cork,,Ireland,United Package,(503) 555-3199,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
263,Mascarpone Fabioli,24 - 200 g pkgs.,6,32,192,10/22/1996,Hungry Owl All-Night Grocers,Patricia McKenna,8 Johnstown Road,Cork,,Ireland,United Package,(503) 555-3199,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
264,Chang,24 - 12 oz bottles,25,19,475,10/11/1996,Folk och fä HB,Maria Larsson,Åkergatan 24,Bräcke,S-844 67,Sweden,Speedy Express,(503) 555-9831,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222,Beverages,"Soft drinks, coffees, teas, beers, and ales"
265,Queso Cabrales,1 kg pkg.,50,21,1050,10/11/1996,Folk och fä HB,Maria Larsson,Åkergatan 24,Bräcke,S-844 67,Sweden,Speedy Express,(503) 555-9831,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Calle del Rosal 4,Oviedo,33007,Spain,(98) 598 76 54,Dairy Products,Cheeses
266,Nord-Ost Matjeshering,10 - 200 g glasses,35,25.89,906.15,10/11/1996,Folk och fä HB,Maria Larsson,Åkergatan 24,Bräcke,S-844 67,Sweden,Speedy Express,(503) 555-9831,Nord-Ost-Fisch Handelsgesellschaft mbH,Sven Petersen,Frahmredder 112a,Cuxhaven,27478,Germany,(04721) 8713,Seafood,Seaweed and fish
267,Escargots de Bourgogne,24 pieces,30,13.25,397.5,10/11/1996,Folk och fä HB,Maria Larsson,Åkergatan 24,Bräcke,S-844 67,Sweden,Speedy Express,(503) 555-9831,Escargots Nouveaux,Marie Delamare,"22, rue H. Voiron",Montceau,71300,France,85.57.00.07,Seafood,Seaweed and fish
268,Raclette Courdavault,5 kg pkg.,9,55,495,10/14/1996,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Jardim das rosas n. 32,Lisboa,1675,Portugal,Federal Shipping,(503) 555-9931,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dairy Products,Cheeses
269,Gorgonzola Telino,12 - 100 g pkgs,70,12.5,875,11/21/1996,Seven Seas Imports,Hari Kumar,90 Wadhurst Rd.,London,OX15 4NB,UK,Federal Shipping,(503) 555-9931,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
270,Camembert Pierrot,15 - 300 g rounds,80,34,2720,11/21/1996,Seven Seas Imports,Hari Kumar,90 Wadhurst Rd.,London,OX15 4NB,UK,Federal Shipping,(503) 555-9931,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dairy Products,Cheeses
271,Rossle Sauerkraut,25 - 825 g cans,30,45.6,1368,11/22/1996,Blondel père et fils,Frédérique Citeaux,"24, place Kléber",Strasbourg,67000,France,Federal Shipping,(503) 555-9931,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Produce,Dried fruit and bean curd
272,Thuringer Rostbratwurst,50 bags x 30 sausgs.,35,123.79,4332.65,11/22/1996,Blondel père et fils,Frédérique Citeaux,"24, place Kléber",Strasbourg,67000,France,Federal Shipping,(503) 555-9931,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Meat/Poultry,Prepared meats
273,Queso Cabrales,1 kg pkg.,24,21,504,11/27/1996,Antonio Moreno Taquería,Antonio Moreno,Mataderos 2312,México D.F.,5023,Mexico,United Package,(503) 555-3199,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Calle del Rosal 4,Oviedo,33007,Spain,(98) 598 76 54,Dairy Products,Cheeses
274,Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,5,21.05,105.25,11/28/1996,Galería del gastrónomo,Eduardo Saavedra,"Rambla de Cataluña, 23",Barcelona,8022,Spain,United Package,(503) 555-3199,New Orleans Cajun Delights,Shelley Burke,P.O. Box 78934,New Orleans,70117,USA,(100) 555-4822,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
275,Original Frankfurter grüne Sope,12 boxes,5,13,65,11/28/1996,Galería del gastrónomo,Eduardo Saavedra,"Rambla de Cataluña, 23",Barcelona,8022,Spain,United Package,(503) 555-3199,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
276,Sasquatch Ale,24 - 12 oz bottles,36,14,504,11/28/1996,Vaffeljernet,Palle Ibsen,Smagsløget 45,Århus,8200,Denmark,Federal Shipping,(503) 555-9931,Bigfoot Breweries,Cheryl Saylor,3400 - 8th Avenue Suite 210,Bend,97101,USA,(503) 555-9931,Beverages,"Soft drinks, coffees, teas, beers, and ales"
277,Tourtière,16 pies,18,7.45,134.1,11/28/1996,Vaffeljernet,Palle Ibsen,Smagsløget 45,Århus,8200,Denmark,Federal Shipping,(503) 555-9931,Ma Maison,Jean-Guy Lauzon,2960 Rue St. Laurent,Montréal,H1J 1C3,Canada,(514) 555-9022,Meat/Poultry,Prepared meats
278,Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,15,21.05,315.75,11/28/1996,Vaffeljernet,Palle Ibsen,Smagsløget 45,Århus,8200,Denmark,Federal Shipping,(503) 555-9931,New Orleans Cajun Delights,Shelley Burke,P.O. Box 78934,New Orleans,70117,USA,(100) 555-4822,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
279,Original Frankfurter grüne Sope,12 boxes,7,13,91,11/28/1996,Vaffeljernet,Palle Ibsen,Smagsløget 45,Århus,8200,Denmark,Federal Shipping,(503) 555-9931,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
280,Sir Rodney's Scones,24 pkgs. x 4 pieces,5,10,50,11/29/1996,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,United Package,(503) 555-3199,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
281,Rossle Sauerkraut,25 - 825 g cans,13,45.6,592.8,11/29/1996,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,United Package,(503) 555-3199,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Produce,Dried fruit and bean curd
282,Ravioli Angelo,24 - 250 g pkgs.,25,19.5,487.5,11/29/1996,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,United Package,(503) 555-3199,Pasta Buttini s.r.l.,Giovanni Giudici,"Via dei Gelsomini, 153",Salerno,84100,Italy,(089) 6547665,Grains/Cereals,"Breads, crackers, pasta, and cereal"
283,Wimmers gute Semmelknodel,20 bags x 4 pieces,35,33.25,1163.75,11/29/1996,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,United Package,(503) 555-3199,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Grains/Cereals,"Breads, crackers, pasta, and cereal"
284,Thuringer Rostbratwurst,50 bags x 30 sausgs.,20,123.79,2475.8,12/2/1996,Split Rail Beer & Ale,Art Braunschweiger,P.O. Box 555,Lander,82520,USA,United Package,(503) 555-3199,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Meat/Poultry,Prepared meats
285,Gnocchi di nonna Alice,24 - 250 g pkgs.,18,38,684,12/2/1996,Split Rail Beer & Ale,Art Braunschweiger,P.O. Box 555,Lander,82520,USA,United Package,(503) 555-3199,Pasta Buttini s.r.l.,Giovanni Giudici,"Via dei Gelsomini, 153",Salerno,84100,Italy,(089) 6547665,Grains/Cereals,"Breads, crackers, pasta, and cereal"
286,Chais,10 boxes x 20 bags,15,18,270,12/3/1996,Chop-suey Chinese,Yang Wang,Hauptstr. 29,Bern,3012,Switzerland,United Package,(503) 555-3199,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222,Beverages,"Soft drinks, coffees, teas, beers, and ales"
287,Wimmers gute Semmelknodel,20 bags x 4 pieces,30,33.25,997.5,12/3/1996,Chop-suey Chinese,Yang Wang,Hauptstr. 29,Bern,3012,Switzerland,United Package,(503) 555-3199,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Grains/Cereals,"Breads, crackers, pasta, and cereal"
288,Longlife Tofu,5 kg pkg.,20,10,200,12/3/1996,Chop-suey Chinese,Yang Wang,Hauptstr. 29,Bern,3012,Switzerland,United Package,(503) 555-3199,Tokyo Traders,Yoshi Nagase,9-8 Sekimai Musashino-shi,Tokyo,100,Japan,(03) 3555-5011,Produce,Dried fruit and bean curd
289,Inlagd Sill,24 - 250 g jars,6,19,114,12/3/1996,La maison d'Asie,Annette Roulet,1 rue Alsace-Lorraine,Toulouse,31000,France,Speedy Express,(503) 555-9831,Svensk Sjöföda AB,Michael Björn,Brovallavägen 231,Stockholm,S-123 45,Sweden,08-123 45 67,Seafood,Seaweed and fish
290,Sir Rodney's Marmalade,30 gift boxes,12,81,972,12/4/1996,Queen Cozinha,Lúcia Carvalho,"Alameda dos Canàrios, 891",São Paulo,05487-020,Brazil,United Package,(503) 555-3199,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
291,Cote de Blaye,12 - 75 cl bottles,40,263.5,10540,12/4/1996,Queen Cozinha,Lúcia Carvalho,"Alameda dos Canàrios, 891",São Paulo,05487-020,Brazil,United Package,(503) 555-3199,Aux joyeux ecclésiastiques,Guylène Nodier,"203, Rue des Francs-Bourgeois",Paris,75004,France,(1) 03.83.00.68,Beverages,"Soft drinks, coffees, teas, beers, and ales"
292,Camembert Pierrot,15 - 300 g rounds,70,34,2380,12/4/1996,Queen Cozinha,Lúcia Carvalho,"Alameda dos Canàrios, 891",São Paulo,05487-020,Brazil,United Package,(503) 555-3199,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dairy Products,Cheeses
293,Mozzarella di Giovanni,24 - 200 g pkgs.,42,34.8,1461.6,12/4/1996,Queen Cozinha,Lúcia Carvalho,"Alameda dos Canàrios, 891",São Paulo,05487-020,Brazil,United Package,(503) 555-3199,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
294,Escargots de Bourgogne,24 pieces,80,13.25,1060,12/5/1996,Hungry Owl All-Night Grocers,Patricia McKenna,8 Johnstown Road,Cork,,Ireland,Federal Shipping,(503) 555-9931,Escargots Nouveaux,Marie Delamare,"22, rue H. Voiron",Montceau,71300,France,85.57.00.07,Seafood,Seaweed and fish
295,Fløtemysost,10 - 500 g pkgs.,50,21.5,1075,12/5/1996,Hungry Owl All-Night Grocers,Patricia McKenna,8 Johnstown Road,Cork,,Ireland,Federal Shipping,(503) 555-9931,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
296,Gorgonzola Telino,12 - 100 g pkgs,30,12.5,375,12/5/1996,Wolski,Zbyszek,ul. Filtrowa 68,Walla,01-012,Poland,Federal Shipping,(503) 555-9931,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
297,Escargots de Bourgogne,24 pieces,15,13.25,198.75,12/5/1996,Wolski,Zbyszek,ul. Filtrowa 68,Walla,01-012,Poland,Federal Shipping,(503) 555-9931,Escargots Nouveaux,Marie Delamare,"22, rue H. Voiron",Montceau,71300,France,85.57.00.07,Seafood,Seaweed and fish
298,Tofu,40 - 100 g pkgs.,15,23.25,348.75,12/6/1996,Hungry Coyote Import Store,Yoshi Latimer,City Center Plaza 516 Main St.,Elgin,97827,USA,United Package,(503) 555-3199,Mayumi's,Mayumi Ohno,92 Setsuko Chuo-ku,Osaka,545,Japan,(06) 431-7877,Produce,Dried fruit and bean curd
299,Tourtière,16 pies,10,7.45,74.5,12/6/1996,Hungry Coyote Import Store,Yoshi Latimer,City Center Plaza 516 Main St.,Elgin,97827,USA,United Package,(503) 555-3199,Ma Maison,Jean-Guy Lauzon,2960 Rue St. Laurent,Montréal,H1J 1C3,Canada,(514) 555-9022,Meat/Poultry,Prepared meats
300,Gorgonzola Telino,12 - 100 g pkgs,42,12.5,525,12/9/1996,Mère Paillarde,Jean Fresnière,43 rue St. Laurent,Montréal,H1J 1C3,Canada,United Package,(503) 555-3199,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
301,Rossle Sauerkraut,25 - 825 g cans,20,45.6,912,12/9/1996,Seven Seas Imports,Hari Kumar,90 Wadhurst Rd.,London,OX15 4NB,UK,Federal Shipping,(503) 555-9931,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Produce,Dried fruit and bean curd
302,Chartreuse verte,750 cc per bottle,20,18,360,12/9/1996,Seven Seas Imports,Hari Kumar,90 Wadhurst Rd.,London,OX15 4NB,UK,Federal Shipping,(503) 555-9931,Aux joyeux ecclésiastiques,Guylène Nodier,"203, Rue des Francs-Bourgeois",Paris,75004,France,(1) 03.83.00.68,Beverages,"Soft drinks, coffees, teas, beers, and ales"
303,Fløtemysost,10 - 500 g pkgs.,6,21.5,129,12/10/1996,Folk och fä HB,Maria Larsson,Åkergatan 24,Bräcke,S-844 67,Sweden,Federal Shipping,(503) 555-9931,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
304,Jack's New England Clam Chowder,12 - 12 oz cans,8,9.65,77.2,12/11/1996,Que Delícia,Bernardo Batista,"Rua da Panificadora, 12",Rio de Janeiro,02389-673,Brazil,Speedy Express,(503) 555-9831,New England Seafood Cannery,Robb Merchant,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,2134,USA,(617) 555-3267,Seafood,Seaweed and fish
305,Vegie-spread,15 - 625 g jars,16,43.9,702.4,12/11/1996,Que Delícia,Bernardo Batista,"Rua da Panificadora, 12",Rio de Janeiro,02389-673,Brazil,Speedy Express,(503) 555-9831,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
306,Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,20,21.05,421,12/11/1996,Que Delícia,Bernardo Batista,"Rua da Panificadora, 12",Rio de Janeiro,02389-673,Brazil,Speedy Express,(503) 555-9831,New Orleans Cajun Delights,Shelley Burke,P.O. Box 78934,New Orleans,70117,USA,(100) 555-4822,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
307,Nord-Ost Matjeshering,10 - 200 g glasses,18,25.89,466.02,12/12/1996,Hungry Owl All-Night Grocers,Patricia McKenna,8 Johnstown Road,Cork,,Ireland,Federal Shipping,(503) 555-9931,Nord-Ost-Fisch Handelsgesellschaft mbH,Sven Petersen,Frahmredder 112a,Cuxhaven,27478,Germany,(04721) 8713,Seafood,Seaweed and fish
308,Perth Pasties,48 pieces,20,32.8,656,12/12/1996,Hungry Owl All-Night Grocers,Patricia McKenna,8 Johnstown Road,Cork,,Ireland,Federal Shipping,(503) 555-9931,"G'day, Mate",Wendy Mackenzie,170 Prince Edward Parade Hunter's Hill,Sydney,2042,Australia,(02) 555-5914,Meat/Poultry,Prepared meats
309,Camembert Pierrot,15 - 300 g rounds,6,34,204,12/12/1996,Hungry Owl All-Night Grocers,Patricia McKenna,8 Johnstown Road,Cork,,Ireland,Federal Shipping,(503) 555-9931,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dairy Products,Cheeses
310,Outback Lager,24 - 355 ml bottles,30,15,450,12/12/1996,Hungry Owl All-Night Grocers,Patricia McKenna,8 Johnstown Road,Cork,,Ireland,Federal Shipping,(503) 555-9931,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Beverages,"Soft drinks, coffees, teas, beers, and ales"
311,Longlife Tofu,5 kg pkg.,14,10,140,12/12/1996,LILA-Supermercado,Carlos González,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,3508,Venezuela,Federal Shipping,(503) 555-9931,Tokyo Traders,Yoshi Nagase,9-8 Sekimai Musashino-shi,Tokyo,100,Japan,(03) 3555-5011,Produce,Dried fruit and bean curd
312,Chef Anton's Gumbo Mix,36 boxes,32,21.35,683.2,12/13/1996,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Speedy Express,(503) 555-9831,New Orleans Cajun Delights,Shelley Burke,P.O. Box 78934,New Orleans,70117,USA,(100) 555-4822,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
313,Carnarvon Tigers,16 kg pkg.,9,62.5,562.5,12/13/1996,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Speedy Express,(503) 555-9831,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Seafood,Seaweed and fish
314,Thuringer Rostbratwurst,50 bags x 30 sausgs.,14,123.79,1733.06,12/13/1996,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Speedy Express,(503) 555-9831,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Meat/Poultry,Prepared meats
